command_name,spec_path,module_path,status,tier
agi,,src/commands/agi.py,GHOST,misc
analytics_commands,,src/commands/analytics_commands.py,GHOST,misc
analytics_show_commands,,src/commands/analytics_show_commands.py,GHOST,misc
auth_commands,,src/commands/auth_commands.py,GHOST,misc
autonomous_commands,,src/commands/autonomous_commands.py,GHOST,misc
build,,src/commands/build.py,GHOST,misc
ci,,src/commands/ci.py,GHOST,misc
clean,,src/commands/clean.py,GHOST,misc
compliance,,src/commands/compliance.py,GHOST,misc
config,,src/commands/config.py,GHOST,misc
core_commands,,src/commands/core_commands.py,GHOST,misc
dashboard_commands,,src/commands/dashboard_commands.py,GHOST,founder
debug_rate_limits,,src/commands/debug_rate_limits.py,GHOST,engineering
docs,,src/commands/docs.py,GHOST,misc
doctor,,src/commands/doctor.py,GHOST,misc
env,,src/commands/env.py,GHOST,misc
health_commands,,src/commands/health_commands.py,GHOST,ops
license_activation,,src/commands/license_activation.py,GHOST,misc
license_admin,,src/commands/license_admin.py,GHOST,misc
license_commands,,src/commands/license_commands.py,GHOST,misc
license_renewal,,src/commands/license_renewal.py,GHOST,misc
lint,,src/commands/lint.py,GHOST,misc
memory_commands,,src/commands/memory_commands.py,GHOST,misc
monitor,,src/commands/monitor.py,GHOST,misc
ocop_commands,,src/commands/ocop_commands.py,GHOST,ops
phase_commands,,src/commands/phase_commands.py,GHOST,misc
raas_maintenance_commands,,src/commands/raas_maintenance_commands.py,GHOST,ops
raas_validate,,src/commands/raas_validate.py,GHOST,ops
schedule_commands,,src/commands/schedule_commands.py,GHOST,misc
security_commands,,src/commands/security_commands.py,GHOST,ops
swarm_commands,,src/commands/swarm_commands.py,GHOST,misc
sync_commands,,src/commands/sync_commands.py,GHOST,ops
sync_raas,,src/commands/sync_raas.py,GHOST,ops
sync_raas_commands,,src/commands/sync_raas_commands.py,GHOST,ops
telegram_commands,,src/commands/telegram_commands.py,GHOST,misc
telemetry_commands,,src/commands/telemetry_commands.py,GHOST,ops
test_advanced,,src/commands/test_advanced.py,GHOST,engineering
tier_admin,,src/commands/tier_admin.py,GHOST,misc
usage_commands,,src/commands/usage_commands.py,GHOST,misc
deploy,.claude/commands/deploy.md,src/commands/deploy.py,LIVE,engineering
deploy,.claude/commands/ci/deploy.md,src/commands/deploy.py,LIVE,engineering
deploy,.claude/commands/sdlc/deploy.md,src/commands/deploy.py,LIVE,engineering
deploy,.claude/commands/raas/deploy.md,src/commands/deploy.py,LIVE,engineering
security,.claude/commands/raas/security.md,src/commands/security.py,LIVE,ops
status,.claude/commands/raas/status.md,src/commands/status.py,LIVE,ops
test,.claude/commands/test.md,src/commands/test.py,LIVE,engineering
test,.claude/commands/raas/test.md,src/commands/test.py,LIVE,engineering
4-project,.claude/commands/4-project.md,,SPEC_ONLY,misc
accounting-daily,.claude/commands/accounting-daily.md,,SPEC_ONLY,business
accounting-invoice-batch,.claude/commands/accounting-invoice-batch.md,,SPEC_ONLY,business
add-changelog,.claude/commands/docs/add-changelog.md,,SPEC_ONLY,misc
ae-close-report,.claude/commands/ae-close-report.md,,SPEC_ONLY,business
ae-deal-prep,.claude/commands/ae-deal-prep.md,,SPEC_ONLY,business
ae-follow-up,.claude/commands/ae-follow-up.md,,SPEC_ONLY,business
ae-outreach,.claude/commands/ae-outreach.md,,SPEC_ONLY,business
agency-prime,.claude/commands/context/agency-prime.md,,SPEC_ONLY,product
analyst-forecast-update,.claude/commands/analyst-forecast-update.md,,SPEC_ONLY,misc
analyst-report,.claude/commands/analyst-report.md,,SPEC_ONLY,misc
